되는길순번,KNOW직업코드,교육1코드,교육2코드,교육3코드,학력-중졸이하,학력-고졸,학력-전문대졸,학력-대졸,학력-대학원졸,인문-언어_문학,인문-인문과학,사회-경영_경제,사회-법률,사회-사회과학,교육-일반,교육-유아,교육-특수,교육-초등,교육-중등,공학-건축,공학-토목,공학-기계_금속,공학-전기_전자,공학-화공,공학-컴퓨터_통신,공학-정밀_에너지,공학-소재_재료,"공학-교통,운송",공학-산업,공학-농림_수산,자연-생물_화학,자연-생활과학,자연-수학_물리,의학-의료,의학-간호,의학-약학,의학-치료_보건,예체능-음악,예체능-미술_조형,예체능-디자인,예체능-체육_무용,예체능-연극_영화,예체능-응용예술,학력-박사졸,학력-고졸_이후_직업교육(6개월 이상)_이수,공학-기타
525,885101,,,,0,16,5,9,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0
526,885201,,,,1,15,13,1,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0
527,885902,,,,0,27,3,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
528,901101,,,,7,14,7,2,0,2,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
529,901201,,,,7,16,3,4,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
531,901401,,,,3,17,7,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
532,901501,,,,0,11,9,10,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
533,902101,,,,2,17,10,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
534,902201,,,,7,16,2,5,0,1,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
535,903101,,,,0,22,5,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
537,904201,,,,19,9,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
484,842201,,,,0,8,14,8,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
490,852301,,,,0,14,7,9,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
511,873101,,,,0,25,5,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
518,882101,,,,0,21,6,3,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
524,884201,,,,0,16,6,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0
530,901301,,,,3,12,9,6,0,2,0,5,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
536,904101,,,,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
177,23101,,,,0,2,1,20,7,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
178,23201,,,,0,1,0,25,4,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
