"한국표준직업분류 개정7차","성별","경력구분","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"관리자(1)","남","전경력","월임금총액","천원","10617","11136","12191","12241","12467","12831",
"관리자(1)","남","전경력","월급여액","천원","9110","9757","10554","10627","10895","11138",
"관리자(1)","남","전경력","전년도연간특별급여/12개월","천원","1507","1378","1637","1614","1572","1693",
"관리자(1)","남","전경력","전년도 연간특별급여","천원","18081","16539","19638","19372","18860","20312",
"관리자(1)","남","전경력","총근로시간","시간","176.7","178.2","164.3","170.4","156.9","156",
"관리자(1)","남","전경력","근로자수","명","95967","86839","102550","114927","113726","104445",
"관리자(1)","남","1년미만","월임금총액","천원","7927","8411","8138","8981","9331","9212",
"관리자(1)","남","1년미만","월급여액","천원","7783","8393","7949","8922","9231","9120",
"관리자(1)","남","1년미만","전년도연간특별급여/12개월","천원","144","18","189","59","99","92",
"관리자(1)","남","1년미만","전년도 연간특별급여","천원","1729","220","2268","711","1192","1098",
"관리자(1)","남","1년미만","총근로시간","시간","173.4","180","167","172.3","153","156.2",
"관리자(1)","남","1년미만","근로자수","명","2122","1308","1961","1885","1668","1640",
"관리자(1)","남","1~3년미만","월임금총액","천원","8937","8976","9732","10025","10713","10964",
"관리자(1)","남","1~3년미만","월급여액","천원","8060","8105","8736","9188","9674","9731",
"관리자(1)","남","1~3년미만","전년도연간특별급여/12개월","천원","876","872","996","838","1038","1233",
"관리자(1)","남","1~3년미만","전년도 연간특별급여","천원","10513","10462","11954","10052","12462","14801",
"관리자(1)","남","1~3년미만","총근로시간","시간","177.7","179.9","164","170.3","155.4","156.4",
"관리자(1)","남","1~3년미만","근로자수","명","5316","5140","4450","4765","4858","4268",
"관리자(1)","남","3~5년미만","월임금총액","천원","8689","9816","10285","11181","11111","11861",
"관리자(1)","남","3~5년미만","월급여액","천원","7816","8505","9103","9604","9947","10101",
"관리자(1)","남","3~5년미만","전년도연간특별급여/12개월","천원","873","1311","1182","1577","1164","1760",
"관리자(1)","남","3~5년미만","전년도 연간특별급여","천원","10474","15735","14180","18922","13973","21120",
"관리자(1)","남","3~5년미만","총근로시간","시간","176.8","176.3","162.7","173","160.4","155.8",
"관리자(1)","남","3~5년미만","근로자수","명","3991","2974","3798","4667","4329","3643",
"관리자(1)","남","5~10년미만","월임금총액","천원","10559","9990","10935","11045","11597","11256",
