KNOW직업코드,유사직업명,조사년도
15104,"보일러조정기사, 냉난방공조기사, 설비기사",2013
15105,,2013
15106,"철도관리원, 정비사,  차량검수원, 철도차량공학기술자,  전동차관리원, 철도차량관리원",2013
15107,,2013
15108,,2012
15109,엔지니어,2013
15110,,2012
15210,"정비기사, 설치기사, 수리기사, ",2013
15220,"승강기 기사, 보수기사, E/V기사",2013
15230,"정비기사, 실내기사, 전기기사, 냉동기사",2013
15231,"물품정비사,  시험사, 건축기사",2013
15240,"보일러기사, 보일러설비공",2013
15250,"설치기사, 건설기계정비원",2013
15260,,2012
23221,농부,2013
23222,농부,2013
23230,과수원농부,2013
23240,작물재배사,2013
23250,"농부, 조련사,  가축사육사",2013
23310,"원예사, 조경기사",2013
23320,조경사,2013
23410,,2013
23420,"어부, 기관장",2013
23501,"농부, 농업인",2013
99997,,2013
99998,,2013
99999,,2013
8551,,2013
8552,,2013
8553,"애니메이터, 일러스트레이터",2013
8554,"색체디자이너, 조색사, 컬러리스트",2013
8555,,2013
8556,3D디자이너,2013
8560,"기계설계자, 엔지니어, 개발자",2013
8561,"건축가, 건축기사, ",2013
8611,,2013
8612,"감독, 프로듀서, 연출가, PD, 제작자",2013
8613,"극작가, 프로듀서",2013
8614,"촬영감독, 영상제작자",2013
8615,"카메라감독, PD",2013
8616,제작자,2013
8622,"방송인, 내레이터",2013
8623,,2013
8624,,2013
8625,배우,2013
8626,,2013
8627,액션배우,2013
8628,,2012
8631,"방송인, 앵커,  MC",2013
8632,"쇼호스트, 쇼핑플래너, 판매원, 프리젠터, SH",2013
8633,MC,2013
8634,"방송진행자, 방송인",2013
8635,,2012
8636,,2013
8637,DJ,2013
8638,"경마아나운서, 경륜아나운서, 경정아나운서",2013
8639,,2015
8641,,2013
8642,,2013
8643,"애니메이션 프로듀서, 애니메이터",2013
8710,감독,2013
8720,"사진작가, 카메라감독, 촬영감독, 비디오기사",2013
8730,"저코딩엔지니어,  사운드엔지니어, 사운드 디자이너",2013
8740,"딜렉터, 편집기사, 촬영기사,  포토그래퍼",2013
8750,"조명감독, 전기기사",2013
8791,효과기사,2013
8792,"예술가, 음향감독, 무대관리자, 조명감독",2013
8795,"무대의상디자이너,  예술인",2013
8810,,2013
8821,,2015
8891,매지션,2013
8892,"인테리어기사, 디자이너(영화세트, 미술), 도구관리원",2013
8893,스타일리스트,2013
8894,메이크업아티스트,2013
8895,"아쿠아리스트, 쇼다이버, 사육사",2013
9111,,2013
9112,,2013
9113,"기관장, 항해사",2013
9115,감리사,2013
9121,"운항승무원, 비행기교관, 기장, 항공운항사",2013
9122,조종사,2013
9130,"CONTROLLER, 공군, (항공교통)관제사",2013
9131,"관제사(해양교통, 선박, VTS),   OTS시설관리자, 관제보원 ",2013
9132,관리사,2013
9133,"운항관리사, dispatoher",2013
9135,"열차운용원, 매표원, 수송원, 역무원, 사무원",2013
9210,"기관사, 승무원, 기관사, ",2013
9220,"관제원, 관제사, 지하철직원, 수송원, 조차원, 신호원",2013
9221,"계류장통제원, 윙가이드맨",2013
9310,택시기사,2013
15310,"차량검사원, 차량관리원, 철도차량정비사",2013
15311,정비기사,2013
15312,,2012
15315,"검사관, 헬기정비사, ",2013
15320,항공기정비사,2013
15330,"냉동기사, 선박수리기사, 정비기사",2013
15400,정비기사,2013
15510,기사,2013
15530,"기술자, 기사",2013
15600,"기사, 조작원",2013
15700,엔지니어,2013
15810,조립원,2013
15820,취부사,2013
15821,"차량관리원, 차량정비사, 기사, 조립원",2013
15825,"조립원, 현장기사, 조립기사",2013
15830,"조립기사, 기계조립원, 현장기사, 생산조립원",2013
16101,,2013
16102,,2013
16103,,2013
16111,,2013
16210,"자동차정비기사, 판금기술자, 판금기사용접기술자",2013
16220,"작업기사, 현장기사",2013
16230,,2013
16300,"프레스공, 기능공",2013
16400,용해장,2013
16500,"취부사, 기사, 용접기술자",2013
16610,"자동차도색원, 도장기사",2013
16611,"임상병리사, 임상연구간호사",2013
16620,"도금원, 기사",2013
16710,"조작원, 기사",2013
16720,,2013
16721,조립공,2013
16730,검사원,2013
16810,,2013
16820,,2013
16830,,2013
16840,"엔지니어, 기사",2013
16850,"가공기술자, 재단사, 엔지니어",2013
16891,,2013
17101,,2013
17102,"잉크영구개발원, 도료연구원, 화학연구원",2013
17103,"화장품개발자, 화장품연구원",2013
17104,,2013
17105,"개발연구원, 실험연구원, 시험원(실험원), 식료품연구원",2013
17106,분석연구원,2013
17107,,2012
17111,,2013
17112,퍼품디자이너,2013
17210,안전점검원,2013
17221,,2013
17230,,2013
17241,조작기사,2013
17242,,2013
17250,조작기사,2013
18100,,2013
18120,"시험원,  공학연구원, 광학연구원",2013
18130,"식품기사, 분석시험원, 공학분석원, 연구분석가, ",2013
18200,"제조원, 섬유조작원, 연사공, 기계조작원, 기사(현장, 작업, 기계, 제조)",2013
18310,"직수, 조작원, 직조기사, 대지공",2013
18320,염색기술공,2013
18330,"검단사, 섬유검사원",2013
18410,"재단사, 미싱사, 미싱공",2013
18420,"의류디자이너, 패션디자이너, 신발디자이너",2013
18430,한복디자이너,2013
18440,양복사,2013
18450,"리폼원, 수선사",2013
18460,패턴사,2013
18491,"라인담장자, 디자이너, 재단사, 제조원",2013
18492,"검사원, 의복검사원, 디자이너",2013
18610,구두기술자,2013
18620,"구두기술자, 신발기술자, 신발제조기술자",2013
18630,세탁원,2013
19110,,2012
19111,,2013
19112,,2013
19113,,2013
19114,,2012
19115,,2012
